,2_young,3_young_adult,4_adult,5_old_adult
1_underweight,"(-inf,-1.50]","[-2.20,-0.59]","[-0.40,0.41]","[0.51,1.00]"
2_normal,"[-2.89,-1.28]","[-1.50,-0.49]","[-0.06,0.64]","[0.8,1.29]"
3_overweight,"(-inf,-1.28]","[-1.50,-0.40]","[-0.25,0.61]","[0.90,1.47]"
4_obese,"(-inf,-1.28]","[-1.79,-0.40]","[-0.06,0.64]","[1.06,1.47]"
