,2_young,3_young_adult,4_adult,5_old_adult
1.0,"[ -inf, -1.28]","[ -1.503, -0.491]","[ -0.056, 0.545]","[ 1.062, 1.454]"
2.0,"[ -inf, -1.28]","[ -1.791, -0.491]","[ -0.117, 0.512]","[ 1.1, 1.454]"
