,2_young,3_young_adult,4_adult,5_old_adult
1.0,"[ -2.192, -0.806]","[ -2.192, -0.583]","[ -0.246, 0.482]","[ 1.085, 1.432]"
2.0,"[ -2.885, -0.806]","[ -2.192, -0.583]","[ -0.113, 0.58]","[ 1.14, 1.521]"
