Age,PA,count
2_young,1.0,15033
2_young,2.0,12567
3_young_adult,1.0,21554
3_young_adult,2.0,16968
4_adult,1.0,12339
4_adult,2.0,12535
5_old_adult,1.0,3399
5_old_adult,2.0,3631
