Age,PA,count
2_young,1.0,23242
2_young,2.0,31245
3_young_adult,1.0,41532
3_young_adult,2.0,40642
4_adult,1.0,31571
4_adult,2.0,29629
5_old_adult,1.0,10791
5_old_adult,2.0,10178
