Age,PA,count
2_young,1.0,38275
2_young,2.0,43812
3_young_adult,1.0,63086
3_young_adult,2.0,57610
4_adult,1.0,43910
4_adult,2.0,42164
5_old_adult,1.0,14190
5_old_adult,2.0,13809
